,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
57,Saint-Pierre,43,RE,1586630698,78,-21.34,55.48,75.2,5.82
58,Pangnirtung,40,CA,1586630898,62,66.15,-65.71,21.2,2.24
59,Morondava,77,MG,1586630899,81,-20.28,44.28,80.08,7.29
60,Mogadishu,24,SO,1586630901,70,2.04,45.34,84.61,14.29
61,La Ronge,90,CA,1586630902,61,55.1,-105.28,17.6,17.22
62,Manicoré,80,BR,1586630903,59,-5.81,-61.3,90.99,2.75
63,Srednekolymsk,1,RU,1586630905,95,67.45,153.68,14.95,9.57
64,Longyan,65,CN,1586630906,76,25.11,117.02,53.04,4.63
65,Conceição do Araguaia,75,BR,1586630907,70,-8.26,-49.26,85.69,5.5
66,Belaya Gora,97,RU,1586630909,93,68.53,146.42,21.78,10.56
67,Omboué,100,GA,1586630910,86,-1.57,9.26,77.83,3.2
68,Palu,41,ID,1586630912,73,-0.89,119.87,74.26,1.52
69,Sørland,100,NO,1586630913,79,67.67,12.69,35.22,8.23
70,Bethel,40,US,1586630914,33,41.37,-73.41,54.0,13.87
71,Zarichne,0,UA,1586630915,63,51.81,26.13,39.47,5.14
72,Matadi,85,CD,1586630917,75,-5.82,13.45,81.48,2.24
73,Saint George,1,US,1586630918,47,37.1,-113.58,64.0,4.88
74,Castro,63,BR,1586630919,42,-24.79,-50.01,71.26,3.18
75,Barrow,90,US,1586630921,83,71.29,-156.79,-7.6,10.29
76,Lima,90,PE,1586630658,78,-12.04,-77.03,73.4,5.82
77,Rikitea,94,PF,1586630923,74,-23.12,-134.97,76.73,3.83
78,Saint-Philippe,57,RE,1586630925,78,-21.36,55.77,75.2,5.82
79,Yellowknife,20,CA,1586630847,51,62.46,-114.35,14.0,13.87
80,East London,100,ZA,1586630697,74,-33.02,27.91,74.05,12.88
81,Pāsighāt,6,IN,1586630929,42,28.07,95.33,71.49,3.15
82,Portland,75,US,1586630633,57,45.52,-122.68,55.99,1.5
83,Usinsk,6,RU,1586630931,94,65.99,57.53,14.72,3.38
84,Tskaltubo,75,GE,1586630932,93,42.33,42.6,44.6,2.24
85,Domna,0,RU,1586630934,53,51.9,113.16,23.0,2.24
86,Geraldton,29,AU,1586630935,88,-28.77,114.6,68.0,2.24
87,Motygino,13,RU,1586630937,94,58.18,94.76,29.37,1.59
88,Blacksburg,1,US,1586630938,26,37.23,-80.41,64.0,6.93
89,Carnarvon,58,AU,1586630939,94,-24.87,113.63,77.0,11.41
90,Jamestown,1,US,1586630777,48,42.1,-79.24,45.0,11.41
91,Saint Paul Harbor,90,US,1586630942,77,57.79,-152.41,39.2,16.11
92,Kholmogory,40,RU,1586630944,92,64.22,41.66,26.6,4.47
93,Shimoda,75,JP,1586630945,76,34.67,138.95,51.01,3.36
94,Muisne,90,EC,1586630946,88,0.6,-80.03,80.6,3.36
95,Isangel,20,VU,1586630948,94,-19.55,169.27,69.8,8.61
96,Kaitangata,87,NZ,1586630949,89,-46.28,169.85,51.01,1.01
97,Sars,99,RU,1586630950,75,56.55,57.14,36.5,6.58
98,New Ulm,1,US,1586630951,30,44.31,-94.46,57.2,6.33
99,Ivanovka,40,KG,1586630953,81,42.89,75.08,53.6,4.47
100,George Town,20,MY,1586630954,88,5.41,100.34,84.2,2.24
101,Whitianga,5,NZ,1586630955,92,-36.83,175.7,60.01,3.0
102,Bantry,15,IE,1586630957,76,51.68,-9.45,60.8,5.82
103,Kandrian,85,PG,1586630958,82,-6.22,149.55,78.78,4.34
104,Pacific Grove,90,US,1586630959,76,36.62,-121.92,60.01,5.82
105,Boa Vista,75,BR,1586630961,39,2.82,-60.67,95.0,14.99
106,Villamontes,0,BO,1586630962,27,-21.25,-63.5,83.84,7.63
107,Belmonte,40,BR,1586630963,78,-15.86,-38.88,80.6,8.05
108,Rāmhormoz,100,IR,1586630965,25,31.28,49.6,74.64,12.95
109,Mitú,60,CO,1586630966,61,1.2,-70.17,87.01,3.29
110,Upernavik,100,GL,1586630967,90,72.79,-56.15,21.72,1.41
111,Haining,67,CN,1586630968,76,30.54,120.69,50.0,8.95
112,Abong Mbang,82,CM,1586630970,64,3.98,13.18,67.69,3.71
113,Laguna,90,US,1586630971,77,38.42,-121.42,64.0,8.05
114,Çan,11,TR,1586630972,70,40.03,27.05,48.61,4.59
115,Ngunguru,7,NZ,1586630974,98,-35.62,174.5,55.0,3.0
116,Marau,0,BR,1586630975,38,-28.45,-52.2,71.49,4.59
117,Pevek,98,RU,1586630976,93,69.7,170.31,5.49,14.0
118,Cap Malheureux,40,MU,1586630978,83,-19.98,57.61,78.01,10.29
119,Walvis Bay,0,NA,1586630979,45,-22.96,14.51,74.84,15.79
120,Ribeira Grande,20,PT,1586630980,77,38.52,-28.7,64.4,3.36
121,Fort Myers Beach,90,US,1586630982,51,26.45,-81.95,91.0,6.93
122,Punta Arenas,75,CL,1586630834,66,-53.15,-70.92,50.0,18.34
123,Butaritari,78,KI,1586630984,76,3.07,172.79,83.77,12.77
124,Road Town,20,VG,1586630986,66,18.42,-64.62,86.0,5.82
125,Nam Som,14,TH,1586630987,62,17.77,102.19,86.0,0.6
126,Ponta Delgada,20,PT,1586630988,63,37.73,-25.67,62.6,17.22
127,Bakchar,0,RU,1586630989,97,57.02,82.07,30.83,5.01
128,Nueva Guinea,94,NI,1586630991,46,11.69,-84.46,89.94,10.36
129,Bengkulu,37,ID,1586630992,79,-3.8,102.27,79.27,2.73
130,Bariloche,20,AR,1586630769,34,-41.15,-71.31,53.6,17.22
131,Hithadhoo,49,MV,1586630995,65,-0.6,73.08,85.06,6.69
132,Mar del Plata,75,AR,1586630971,56,-38.0,-57.56,73.99,13.87
133,Severo-Yeniseyskiy,1,RU,1586630998,94,60.37,93.04,21.97,4.38
134,Faanui,100,PF,1586630999,73,-16.48,-151.75,82.94,9.4
135,Yar-Sale,70,RU,1586631000,95,66.83,70.83,19.8,11.48
136,Chui,24,UY,1586631002,55,-33.7,-53.46,70.47,6.38
137,Bredasdorp,100,ZA,1586631003,82,-34.53,20.04,69.01,3.36
138,Mosetse,56,BW,1586631004,29,-20.75,26.65,76.53,4.45
139,Cabo San Lucas,40,MX,1586631006,49,22.89,-109.91,80.01,23.04
140,Paamiut,94,GL,1586631007,71,61.99,-49.67,40.26,5.93
141,Severo-Kuril'sk,57,RU,1586631008,94,50.68,156.12,26.91,10.94
142,Agüimes,20,ES,1586631010,64,27.91,-15.45,71.01,25.28
143,Hede,40,CN,1586631012,71,33.77,120.25,43.86,11.25
144,Tuatapere,89,NZ,1586631013,77,-46.13,167.68,53.01,4.0
145,Vao,13,NC,1586631014,76,-22.67,167.48,75.76,13.82
146,Haikou,40,CN,1586631015,94,20.05,110.34,75.2,2.24
147,Uíge,84,AO,1586631017,70,-7.61,15.06,71.69,1.59
148,Vestmannaeyjar,90,IS,1586631018,93,63.44,-20.27,44.6,9.17
149,Qaanaaq,77,GL,1586631019,78,77.48,-69.36,13.87,3.33
150,Auki,98,SB,1586631021,76,-8.77,160.7,81.73,5.77
151,Grindavik,75,IS,1586631022,80,63.84,-22.43,48.2,23.04
152,Kralendijk,75,BQ,1586631023,66,12.15,-68.27,87.8,24.16
153,Neiba,75,DO,1586631025,52,18.5,-71.42,91.4,20.8
154,Hukuntsi,40,BW,1586631026,35,-24.0,21.75,72.97,6.22
155,Dingle,2,PH,1586631027,73,11.0,122.67,77.4,5.68
156,Barinitas,100,VE,1586631028,38,8.76,-70.41,88.9,4.05
157,Sungai Penuh,100,ID,1586631030,73,-2.08,101.38,68.2,0.54
158,Slantsy,49,RU,1586630931,84,59.12,28.09,34.52,4.07
159,Noumea,15,NC,1586631032,82,-22.28,166.46,73.99,2.24
160,Mount Gambier,90,AU,1586631034,71,-37.83,140.77,51.8,4.7
161,Tapachula,5,MX,1586631035,50,14.9,-92.28,95.0,12.75
162,Aberdeen,66,GB,1586630890,41,57.14,-2.1,60.8,8.05
163,Tiksi,28,RU,1586631038,94,71.69,128.87,17.51,17.43
164,Kushiro,59,JP,1586631039,93,42.98,144.37,27.09,4.72
165,Dharmadam,3,IN,1586631040,81,11.78,75.43,82.04,3.38
166,Hobyo,0,SO,1586631042,66,5.35,48.53,83.71,15.01
167,Thompson,90,CA,1586631043,68,55.74,-97.86,26.6,5.82
168,Omsukchan,100,RU,1586631044,85,62.53,155.8,3.24,3.36
169,Tocopilla,29,CL,1586630858,28,-22.09,-70.2,82.96,5.84
170,Inta,53,RU,1586631047,95,66.03,60.17,15.35,4.85
171,Shediac,75,CA,1586631048,60,46.22,-64.54,39.2,23.04
172,Mbaïki,100,CF,1586631050,85,3.87,17.99,70.23,7.38
173,Mastic Beach,1,US,1586631051,27,40.77,-72.85,54.0,17.22
174,Ilulissat,75,GL,1586631052,69,69.22,-51.1,33.8,10.29
175,Novosergiyevka,80,RU,1586631054,65,52.09,53.65,45.1,10.25
176,Beringovskiy,94,RU,1586631055,93,63.05,179.32,7.12,11.01
177,Kieta,84,PG,1586631056,79,-6.22,155.63,79.7,3.65
178,Lompoc,1,US,1586631058,72,34.64,-120.46,68.0,11.41
179,Flin Flon,75,CA,1586631059,44,54.77,-101.86,19.4,19.46
180,Moose Factory,90,CA,1586631060,95,51.26,-80.61,32.0,5.82
181,Leshukonskoye,100,RU,1586630925,96,64.9,45.76,24.55,4.5
182,Lensk,99,RU,1586631063,87,60.73,114.93,32.99,7.78
183,Codrington,64,AU,1586631064,73,-38.27,141.97,51.37,11.7
184,Labuhan,89,ID,1586631065,82,-6.88,112.21,78.33,2.53
185,Khovd,20,MN,1586631067,38,48.01,91.64,40.01,2.51
186,Leningradskiy,100,RU,1586631068,84,69.38,178.42,7.84,4.12
187,Coyhaique,40,CL,1586631069,48,-45.58,-72.07,51.8,8.05
188,Nara,100,JP,1586631070,53,34.69,135.8,51.8,12.75
189,Sydney Mines,75,CA,1586631072,64,46.24,-60.22,42.01,19.46
190,Dwārka,39,IN,1586631073,72,22.24,68.97,80.53,10.22
191,Amuntai,96,ID,1586631074,95,-2.42,115.25,72.12,0.74
192,Gamba,100,GA,1586631076,86,-2.65,10.0,77.94,3.62
193,Nouadhibou,0,MR,1586631077,57,20.93,-17.03,75.2,18.34
194,Nome,40,US,1586631079,92,64.5,-165.41,21.2,9.17
195,Hay River,40,CA,1586631080,66,60.82,-115.8,12.2,8.05
196,Andros Town,75,BS,1586631081,74,24.7,-77.77,81.0,11.41
197,Jos,100,NG,1586631003,14,9.92,8.9,76.75,4.34
198,College,75,US,1586631084,85,64.86,-147.8,30.2,4.7
199,Port Augusta,40,AU,1586631085,67,-32.5,137.77,57.2,10.29
200,Yulara,63,AU,1586631086,24,-25.24,130.99,59.0,5.82
201,Richards Bay,5,ZA,1586631088,79,-28.78,32.04,74.1,15.84
202,Ponta do Sol,75,PT,1586631089,68,32.67,-17.1,64.4,14.99
203,Tuktoyaktuk,75,CA,1586631090,76,69.45,-133.04,-4.0,8.05
204,Acaraú,100,BR,1586631092,77,-2.89,-40.12,84.27,7.58
205,Sarakhs,100,IR,1586631093,82,36.54,61.16,59.0,9.17
206,North Bend,20,US,1586631094,71,43.41,-124.22,59.0,11.41
207,Lebu,0,CL,1586631096,56,-37.62,-73.65,59.7,16.24
208,Port Elizabeth,100,ZA,1586630937,72,-33.92,25.57,62.6,3.36
209,Pangkalanbuun,94,ID,1586631098,92,-2.68,111.62,75.97,2.57
210,Hasaki,75,JP,1586631100,93,35.73,140.83,46.4,6.93
211,Linqiong,28,CN,1586631101,67,30.42,103.46,60.8,2.91
212,Esperance,81,AU,1586631102,68,-33.87,121.9,68.0,18.34
213,Broken Hill,0,AU,1586631103,65,-31.95,141.43,46.4,4.7
214,Balkanabat,75,TM,1586631105,55,39.51,54.37,59.09,5.53
215,Utiel,96,ES,1586631106,52,39.57,-1.2,64.4,9.17
216,Ixtapa,75,MX,1586631107,57,20.7,-105.2,81.0,10.29
217,Isetskoye,54,RU,1586631109,80,56.49,65.32,41.05,7.29
218,Baker City,1,US,1586631110,34,44.77,-117.83,55.4,24.16
219,San Jerónimo,65,PE,1586631111,18,-11.95,-75.28,63.32,6.62
220,Little Current,1,CA,1586631113,52,45.98,-81.92,42.01,11.41
221,Juneau,20,US,1586631114,44,58.3,-134.42,37.99,3.36
222,Carhuamayo,90,PE,1586631115,17,-10.92,-76.03,53.01,4.83
223,Cidreira,18,BR,1586631116,56,-30.18,-50.21,71.42,7.56
224,Alice Springs,44,AU,1586631118,35,-23.7,133.88,57.2,4.7
225,Remanso,92,BR,1586631119,70,-9.62,-42.08,81.55,3.04
226,Uchiza,98,PE,1586631120,47,-8.46,-76.46,86.22,2.53
227,Grove City,90,US,1586631122,43,39.88,-83.09,55.99,9.17
228,Adrar,0,MR,1586631123,9,20.5,-10.07,96.03,6.55
229,Tsimmerbude,70,RU,1586631125,60,54.67,20.13,41.0,4.47
230,San Mateo del Mar,43,MX,1586631126,59,16.2,-95.0,87.73,9.8
231,Bela,4,IN,1586631127,19,25.93,81.98,84.42,0.87
232,Muros,75,ES,1586631129,93,42.78,-9.06,61.0,5.82
233,Manali,20,IN,1586631130,79,13.17,80.27,84.99,3.36
234,Cherskiy,100,RU,1586631132,96,68.75,161.3,11.71,11.54
235,Ancud,20,CL,1586631053,54,-41.87,-73.82,53.6,8.05
236,Abbeville,31,FR,1586631134,55,50.1,1.83,68.0,3.36
237,Tinton Falls,40,US,1586631136,29,40.3,-74.1,55.0,19.46
238,Umluj,12,SA,1586631137,52,25.02,37.27,70.27,11.63
239,Coquimbo,100,CL,1586631138,63,-29.95,-71.34,64.4,9.17
240,Havøysund,100,NO,1586631139,74,71.0,24.66,28.4,8.05
241,Ada,75,US,1586631141,47,43.42,-116.13,63.0,19.46
242,Mīzan Teferī,65,ET,1586631142,59,6.98,35.58,65.35,3.04
243,Saldanha,85,ZA,1586631143,88,-33.01,17.94,64.4,8.05
244,Yangi Marg`ilon,90,UZ,1586631144,82,40.43,71.72,55.4,4.7
245,Saint-Augustin,100,CA,1586631146,95,51.23,-58.65,33.17,5.91
246,Murray Bridge,37,AU,1586631147,73,-35.12,139.27,54.0,3.0
247,Jumla,7,NP,1586631149,23,29.27,82.18,46.56,4.76
248,Hudson Bay,85,CA,1586631150,88,52.85,-102.38,22.48,13.18
249,Sayyan,61,YE,1586631151,32,15.17,44.32,63.37,2.68
250,Klaksvík,100,FO,1586631153,93,62.23,-6.59,44.6,10.29
251,Mariehamn,95,AX,1586631062,64,60.1,19.93,37.4,8.05
252,Katsuura,75,JP,1586631155,93,35.13,140.3,50.0,11.41
253,Taoudenni,0,ML,1586631157,7,22.68,-3.98,100.29,3.87
254,Santa Maria,2,BR,1586631158,41,-29.68,-53.81,75.58,5.68
255,Grand-Lahou,61,CI,1586631159,80,5.14,-5.02,83.25,8.23
256,El Salvador,20,SV,1586631161,55,13.83,-88.92,91.4,8.05
257,Sept-Îles,75,CA,1586631162,38,50.2,-66.38,41.0,11.41
258,Yeppoon,40,AU,1586631163,88,-23.13,150.73,73.4,3.36
259,Nederland,90,US,1586631165,61,29.97,-93.99,78.8,14.99
260,Yerbogachën,15,RU,1586631166,94,61.28,108.01,26.55,6.78
261,Mosquera,75,CO,1586631167,52,4.71,-74.23,66.2,10.29
262,Cariamanga,90,EC,1586631168,65,-4.33,-79.55,77.0,4.7
263,Buala,100,SB,1586631170,82,-8.14,159.59,80.76,7.49
264,Guerrero Negro,67,MX,1586631171,50,27.98,-114.06,65.91,12.44
265,Tasiilaq,40,GL,1586631172,90,65.61,-37.64,32.0,14.99
266,Ketchikan,1,US,1586631174,36,55.34,-131.65,44.6,6.93
267,Nicolás Bravo,40,MX,1586631175,62,18.45,-88.92,89.6,16.11
268,Bima,40,ID,1586631176,81,-8.47,118.72,75.61,1.41
269,Sault Ste. Marie,40,CA,1586631178,43,46.52,-84.33,50.0,9.17
270,Hvide Sande,100,DK,1586631179,70,56.0,8.13,48.2,11.41
271,Norman Wells,75,CA,1586631180,79,65.28,-126.83,24.8,8.05
272,Nanortalik,95,GL,1586631182,69,60.14,-45.24,39.31,27.51
273,Escobal,75,PA,1586631183,62,9.15,-79.96,93.99,3.36
274,Tomatlán,48,MX,1586631184,26,19.93,-105.25,91.89,12.41
275,Angoche,37,MZ,1586631186,77,-16.23,39.91,75.99,8.28
276,Torbay,75,CA,1586631187,94,47.67,-52.73,43.0,26.4
277,Cururupu,98,BR,1586631189,80,-1.83,-44.87,83.91,5.3
278,Comodoro Rivadavia,20,AR,1586630900,33,-45.87,-67.5,62.6,12.75
279,Sal Rei,37,CV,1586631191,69,16.18,-22.92,78.8,14.99
280,Cayenne,75,GF,1586631193,66,4.93,-52.33,86.0,10.29
281,Doka,11,SD,1586631194,13,13.52,35.77,90.12,12.97
282,Sur,30,OM,1586631195,65,22.57,59.53,81.01,12.41
283,Sémbé,96,CG,1586631196,80,1.65,14.58,73.51,5.26
284,Lavrentiya,99,RU,1586631198,98,65.58,-171.0,27.84,10.51
285,Cherepovets,60,RU,1586630918,86,59.13,37.9,31.66,3.27
286,San Felipe,83,VE,1586631200,29,10.34,-68.74,96.55,6.15
287,Hirara,94,JP,1586631202,84,24.8,125.28,70.36,24.7
288,Constitución,100,CL,1586631203,60,-35.33,-72.42,62.85,12.77
289,Sitka,1,US,1586631204,48,57.05,-135.33,39.2,3.36
290,Masindi,92,UG,1586631206,54,1.67,31.71,72.01,3.51
291,Betūl,2,IN,1586631207,15,21.92,77.9,84.51,2.64
292,Barcelona,22,ES,1586630976,82,41.39,2.16,66.0,9.17
293,Lüderitz,0,NA,1586631210,77,-26.65,15.16,60.8,13.87
294,Clyde River,75,CA,1586631211,84,70.47,-68.59,6.8,17.22
295,Dąbrowa Górnicza,75,PL,1586631212,45,50.32,19.24,55.0,5.82
296,High Prairie,42,CA,1586631214,86,55.43,-116.49,23.13,10.4
297,Hearst,48,CA,1586631215,88,49.68,-83.67,34.74,6.64
298,Andijan,90,UZ,1586631216,87,40.78,72.34,55.4,2.24
299,Ojinaga,1,MX,1586631217,10,29.57,-104.42,82.4,6.93
300,Palmer,75,US,1586631219,27,42.16,-72.33,52.0,26.4
301,Lucapa,80,AO,1586631220,71,-8.42,20.74,70.14,2.8
302,Alenquer,75,BR,1586631221,83,-1.94,-54.74,82.4,4.7
303,Ormara,77,PK,1586631223,74,25.21,64.64,78.53,8.86
304,Kilindoni,100,TZ,1586631224,79,-7.91,39.67,83.25,20.76
305,Uvira,76,CD,1586631225,49,-3.41,29.15,73.6,1.34
306,Lorengau,55,PG,1586631227,75,-2.02,147.27,81.72,2.77
307,Hofn,81,IS,1586631228,83,64.25,-15.21,41.32,20.27
308,Mitsamiouli,41,KM,1586631229,75,-11.38,43.28,84.24,12.24
309,Jalu,49,LY,1586631231,26,29.03,21.55,67.12,8.81
310,Dzhebariki-Khaya,77,RU,1586631232,96,62.22,135.8,25.36,4.18
311,Saskylakh,87,RU,1586631234,90,71.92,114.08,4.77,17.72
312,Caldwell,75,US,1586631236,41,43.66,-116.69,63.0,19.46
313,Caravelas,45,BR,1586631237,78,-17.71,-39.25,81.86,12.33
314,Karratha,0,AU,1586631238,57,-20.74,116.85,81.86,9.73
315,Mikhaylovka,93,RU,1586631240,76,50.06,43.24,39.9,10.02
316,Japura,99,ID,1586631241,92,-0.32,102.35,73.89,0.81
317,Souillac,40,MU,1586631242,83,-20.52,57.52,78.01,10.29
318,Chiredzi,5,ZW,1586631244,49,-21.05,31.67,72.3,4.54
319,Okhotsk,97,RU,1586631245,96,59.38,143.3,24.75,1.7
320,Pisco,1,PE,1586631246,30,-13.7,-76.22,72.0,11.41
321,Goulburn,3,AU,1586631248,88,-34.75,149.72,41.0,5.61
322,Moree,0,AU,1586631249,71,-29.47,149.85,53.6,10.29
323,Tsabong,0,BW,1586631250,28,-26.02,22.4,77.47,5.44
324,Salalah,75,OM,1586631252,78,17.02,54.09,82.4,9.17
325,Arlit,74,NE,1586631253,9,18.74,7.39,93.18,6.17
326,Mandan,1,US,1586631254,40,46.83,-100.89,39.99,18.34
327,Zaysan,94,KZ,1586631255,48,47.47,84.87,42.03,0.09
328,Pimenta Bueno,40,BR,1586631257,73,-11.67,-61.19,85.23,2.17
329,Smoky Lake,57,CA,1586631258,87,54.12,-112.47,20.71,15.17
330,Qaqortoq,75,GL,1586631134,20,60.72,-46.03,55.4,26.4
331,Hualmay,51,PE,1586631261,65,-11.1,-77.61,78.01,10.22
332,Padang,100,ID,1586631262,73,-0.95,100.35,79.81,4.23
333,Oranjestad,40,AW,1586631264,62,12.52,-70.03,89.6,20.8
334,Monte Patria,98,CL,1586631265,36,-30.69,-70.95,75.4,6.91
335,Roald,100,NO,1586631266,87,62.58,6.13,46.99,8.05
336,Turukhansk,100,RU,1586631268,89,65.82,87.98,34.38,17.02
337,Mana,98,GF,1586631269,63,5.66,-53.78,83.73,9.78
338,Kavieng,97,PG,1586631270,74,-2.57,150.8,82.92,4.68
339,Isabela,20,PH,1586631272,83,6.71,121.97,78.8,5.82
340,Chicama,20,PE,1586631273,83,-7.84,-79.15,71.6,12.75
341,Huinan,7,CN,1586631274,66,42.62,126.26,37.58,7.52
342,Nola,0,IT,1586631276,87,40.92,14.53,61.0,3.36
343,Remedios,20,CU,1586631277,41,22.49,-79.55,95.0,4.7
344,New Plymouth,85,NZ,1586631278,89,-39.07,174.08,60.01,5.99
345,Gizo Government Station,97,SB,1586631280,79,-8.1,156.84,81.68,6.55
346,Camargo,63,MX,1586631281,12,27.67,-105.17,75.18,5.53
347,Havelock,1,US,1586631282,27,34.88,-76.9,64.99,4.59
348,Zapolyarnyy,20,RU,1586631284,73,69.42,30.81,24.8,12.75
349,Vestmanna,100,FO,1586631285,93,62.16,-7.17,44.6,10.29
350,Bathsheba,20,BB,1586631286,55,13.22,-59.52,87.8,14.99
351,Lata,75,PT,1586631288,77,40.16,-8.33,61.0,9.17
352,Krasnosel'kup,100,RU,1586631289,96,65.7,82.47,35.22,21.68
353,Skole,15,UA,1586631291,57,49.04,23.51,41.49,4.79
354,Bilibino,97,RU,1586631292,89,68.05,166.44,4.17,1.34
355,Poso,25,ID,1586631293,63,-1.4,120.75,76.66,3.02
356,Dodge City,1,US,1586631295,22,37.75,-100.02,80.01,5.82
357,Wakkanai,38,JP,1586631296,88,45.41,141.67,31.98,7.2
358,Jurm,100,AF,1586631297,29,36.86,70.83,57.65,3.58
359,Xingcheng,0,CN,1586631299,45,40.62,120.72,48.9,12.28
360,Ust-Kuyga,100,RU,1586631300,94,70.02,135.6,26.42,11.92
361,Bundaberg,40,AU,1586631233,77,-24.85,152.35,70.0,3.36
362,Iqaluit,40,CA,1586631303,73,63.75,-68.51,24.8,8.05
363,‘Āhuimanu,20,US,1586631304,65,21.44,-157.84,78.8,5.82
364,Marsá Maţrūḩ,0,EG,1586631306,66,31.35,27.25,61.84,8.16
365,Kumul,99,CN,1586631307,18,42.8,93.45,58.96,1.07
366,Shitanjing,0,CN,1586631308,13,39.23,106.34,43.0,5.01
367,Tamandaré,72,BR,1586631309,64,-8.76,-35.1,85.5,9.66
368,Vardø,98,NO,1586631311,89,70.37,31.11,28.76,10.45
369,Chengde,0,CN,1586631312,39,40.97,117.94,45.86,4.94
370,Conakry,20,GN,1586631313,70,9.54,-13.68,86.0,13.87
371,Ayorou,87,NE,1586631315,16,14.73,0.92,98.08,6.17
372,Port Lincoln,59,AU,1586631317,66,-34.73,135.87,55.89,9.35
373,Kincardine,48,GB,1586631318,47,56.07,-3.72,57.2,11.41
